# All refereed publications based on data obtained from the HLA must carry the following footnote: 
#
#     Based on observations made with the NASA/ESA Hubble Space Telescope,
#     and obtained from the Hubble Legacy Archive, which is a collaboration
#     between the Space Telescope Science Institute (STScI/NASA), the Space
#     Telescope European Coordinating Facility (ST-ECF/ESA) and the Canadian
#     Astronomy Data Centre (CADC/NRC/CSA).
#
# One copy of each paper resulting from data obtained from the HLA should be sent to the STScI
# ---------------------------------------------------------------------------------------------------------
# Proposal ID    :      10775
# Image File Name:                                                                                 
# Target Name    :                                                                                 
# Date Observed  :                     
# Time Observed  :                     
# Instrument     : WFPC2   
# Detector       : WFPC2/WFC
# Target RA      :   298.382743
# Target DEC     :    18.867315
# Orientation    :     -999.000
# Aperture RA    :  -999.000000
# Aperture DEC   :  -999.000000
# Aperture PA    :     -999.000
# Exposure Start :  -999.000000
# Exposure Time  :      168.000
# CCD Gain       :     -999.000
# Filter 1       : detection
# Filter 2       :         
# ---------------------------------------------------------------------------------------------------------
# Data Release Version :            (DAOphot Catalog)
# Aperture Radius      :0.30
# Nobj                 :        919
#
#  Object      Pixel Position      ICRS Coordinates        f606w    f814w    f606w    f814w
#      ID       X          Y       RA          DEC     | MagAP2----------| TotMag----------| CI--------------| Flags-----------
      124   1143.997    393.351 298.3877409  18.8429366   24.493   21.948   24.323   21.764    0.763    1.058       24        0 
      125   1251.564    393.616 298.3845838  18.8429439   22.274   21.513   22.104   21.329    0.879    1.056        0        0 
      126   1707.469    393.454 298.3712026  18.8429386   20.187   19.608   20.017   19.424    0.957    1.105        0        0 
      127   1467.594    394.934 298.3782431  18.8429802   21.236   20.372   21.066   20.188    0.825    0.910       16        0 
      131   1198.062    399.143 298.3861541  18.8430975   21.805   20.911   21.635   20.727    0.868    1.109        0        0 
      133   1039.343    400.230 298.3908126  18.8431277   19.659   19.289   19.489   19.105    0.822    0.909       16        0 
      134   1191.482    400.490 298.3863472  18.8431349   21.924   20.995   21.754   20.811    0.861    0.855        0        0 
      136   1416.579    406.216 298.3797404  18.8432937   20.899   20.271   20.729   20.087    0.797    0.889       16        0 
      138   1087.696    410.455 298.3893934  18.8434117   22.904   21.723   22.734   21.539    0.837    0.954       16        0 
      139   1074.297    412.773 298.3897867  18.8434761   23.573   22.084   23.403   21.900    1.125    1.089        8        0 
      140   1640.712    419.651 298.3731619  18.8436664   23.502   21.784   23.502   21.600    1.462    1.235        8        0 
      141   1697.953    421.019 298.3714818  18.8437043   23.562   21.948   23.392   21.764    0.919    0.941        8        0 
      144   1731.920    427.375 298.3704848  18.8438807   20.447   19.832   20.277   19.648    0.806    0.873       16        0 
      145   1601.202    428.026 298.3743215  18.8438992   22.900   22.156   22.730   21.972    0.950    1.123        0        0 
      147   1002.000    431.088 298.3919087  18.8439849   16.912   16.557   16.742   16.373    0.876    0.935        0        0 
      148   1048.096    432.951 298.3905557  18.8440366   18.002   17.546   17.832   17.362    0.826    0.933       16        0 
      153   1015.484    436.636 298.3915129  18.8441390   21.269   20.234   21.099   20.050    0.852    0.893        0        0 
      155   1496.377    439.217 298.3773982  18.8442103   20.717   20.241   20.547   20.057    0.798    0.899       16        0 
      156   1480.510    439.824 298.3778639  18.8442272   23.382   21.619   23.212   21.435    0.660    0.893       16        0 
      157   1445.738    440.484 298.3788845  18.8442456   20.997   20.574   20.827   20.390    0.751    0.876       16        0 
      159   1605.102    442.044 298.3742070  18.8442886   20.670   25.882   20.500   25.698    1.151    0.602        0       24 
      160   1082.353    444.258 298.3895502  18.8443507   20.250   19.690   20.080   19.506    0.800    0.852       16        0 
      161   1090.561    443.996 298.3893093  18.8443434   21.693   21.149   21.523   20.965    0.799    0.943       16        0 
      162   1276.508    444.172 298.3838516  18.8443482   24.432   22.258   24.262   22.074    0.871    0.865        8        0 
      163   1538.356    443.568 298.3761661  18.8443311   22.030   21.416   21.860   21.232    0.704    0.940       16        0 
      164   1340.672    445.460 298.3819683  18.8443839   22.768   22.002   22.598   21.818    0.933    0.986        0        0 
      165   1360.523    444.949 298.3813857  18.8443697   22.489   21.942   22.319   21.758    0.860    0.785        0       16 
      166   1023.021    449.409 298.3912917  18.8444938   20.595   19.962   20.425   19.778    0.823    0.902       16        0 
      167    928.223    449.659 298.3940741  18.8445007   21.953   21.004   21.783   20.820    0.892    0.899        0        0 
      169   1238.793    455.014 298.3849585  18.8446494   23.214   22.233   23.044   22.049    0.788    0.910       16        0 
      171   1035.123    456.364 298.3909365  18.8446870   20.416   19.905   20.246   19.721    0.823    0.861       16        0 
      172   1004.995    456.718 298.3918208  18.8446968   17.108   16.693   16.938   16.509    0.797    0.896       16        0 
      173   1247.053    457.702 298.3847161  18.8447241   22.601   21.736   22.431   21.552    0.824    0.919       16        0 
      175    999.316    460.341 298.3919874  18.8447974   17.985   17.569   17.815   17.385    0.888    0.950        0        0 
      176   1157.911    460.789 298.3873325  18.8448099   22.314   20.841   22.144   20.657    0.931    1.013        0        0 
      177   1332.251    462.549 298.3822154  18.8448586   24.004   22.542   23.834   22.358    1.097    0.951        8        0 
      180   1683.280    463.538 298.3719124  18.8448854   15.761   14.915   15.761   14.915    1.431    1.305        4        4 
      181   1634.012    465.197 298.3733584  18.8449316   18.708   18.329   18.538   18.145    0.834    0.933       16        0 
      182   1279.186    466.971 298.3837730  18.8449815   22.852   21.427   22.682   21.243    0.821    1.012       16        0 
      184   1524.691    467.843 298.3765671  18.8450054   19.183   18.740   19.013   18.556    0.772    0.952       16        0 
      185   1087.354    471.069 298.3894034  18.8450955   20.967   20.465   20.797   20.281    0.778    0.968       16        0 
      186   1139.376    471.168 298.3878765  18.8450982   21.249   20.729   21.079   20.545    0.785    0.934       16        0 
      187   1740.054    471.138 298.3702460  18.8450964   16.768   15.862   16.598   15.678    1.082    0.901        0        0 
      191   1567.067    474.414 298.3753233  18.8451878   22.997   21.122   22.827   20.938    0.981    0.973        0        0 
      192   1394.061    475.921 298.3804012  18.8452300   20.628   19.886   20.458   19.702    0.900    1.039        0        0 
      194   1107.172    476.808 298.3888218  18.8452549   22.785   21.591   22.615   21.407    0.956    0.975        0        0 
      195   1134.741    477.011 298.3880126  18.8452605   20.774   20.020   20.604   19.836    0.830    0.860       16        0 
      197   1122.625    482.046 298.3883682  18.8454004   24.431   22.233   24.261   22.049    0.725    0.872       24        0 
      198   1224.598    482.889 298.3853752  18.8454237   22.109   21.302   21.939   21.118    0.845    0.917       16        0 
      199    992.104    483.985 298.3921991  18.8454542   23.285   21.275   23.115   21.091    0.876    0.956        0        0 
      201   1018.024    486.762 298.3914384  18.8455314   18.555   18.028   18.385   17.844    0.847    0.903       16        0 
      202   1636.262    487.216 298.3732923  18.8455433   24.584   21.046   24.584   20.862    1.732    1.062        8        0 
      204    877.194    489.525 298.3955719  18.8456080   18.762   18.301   18.592   18.117    0.861    0.835        0       16 
      206   1613.534    488.864 298.3739594  18.8455891   23.130   22.452   22.960   22.268    0.981    1.115        0        0 
      207   1777.129    488.518 298.3691577  18.8455790   22.510   21.761   22.340   21.577    0.809    1.005       16        0 
      209   1508.837    490.409 298.3770324  18.8456323   23.042   22.045   22.872   21.861    1.085    1.238        0        0 
      212    886.451    492.271 298.3953002  18.8456843   21.596   21.288   21.426   21.104    0.892    0.978        0        0 
      213    946.884    493.576 298.3935264  18.8457206   23.404   21.236   23.234   21.236    1.123    1.824        0        1 
      214   1532.995    494.048 298.3763233  18.8457333   19.567   18.190   19.397   18.006    0.855    0.911        0        0 
      215   1069.967    496.842 298.3899138  18.8458114   22.281   21.110   22.281   21.110    1.889    1.429        1        1 
      216   1354.286    496.197 298.3815686  18.8457933   22.273   21.772   22.103   21.588    0.883    0.923        0        0 
      218   1058.379    497.448 298.3902539  18.8458282   16.344   15.822   16.174   15.638    1.175    1.088        0        0 
      220    903.375    499.403 298.3948035  18.8458824   18.755   18.332   18.585   18.148    0.843    0.941       16        0 
      221   1145.297    500.095 298.3877027  18.8459017   19.495   19.128   19.325   18.944    0.756    0.851       16        0 
      222   1531.971    499.772 298.3763534  18.8458923   21.699   20.686   21.529   20.502    0.856    1.147        0        0 
      224   1274.467    501.575 298.3839114  18.8459428   20.925   20.361   20.755   20.177    0.792    0.894       16        0 
      225   1429.848    502.151 298.3793508  18.8459586   18.939   18.448   18.769   18.264    0.795    0.871       16        0 
      226   1454.210    502.403 298.3786357  18.8459655   21.172   20.440   21.002   20.256    1.056    0.991        0        0 
      227   1615.615    502.491 298.3738983  18.8459676   22.157   21.776   21.987   21.592    0.842    0.873       16        0 
      228   1567.477    505.629 298.3753112  18.8460549   19.587   19.090   19.417   18.906    0.900    1.025        0        0 
      230   1404.000    514.572 298.3801094  18.8463036   19.825   19.286   19.655   19.102    0.745    0.862       16        0 
      233   1697.565    516.566 298.3714929  18.8463584   19.069   18.522   18.899   18.338    0.785    0.864       16        0 
      234   1185.012    523.092 298.3865370  18.8465405   21.437   20.633   21.267   20.449    0.831    0.975       16        0 
      237    996.304    525.516 298.3920759  18.8466079   22.220   21.626   22.050   21.442    0.852    1.001        0        0 
      238   1275.359    526.949 298.3838852  18.8466476   19.933   19.488   19.763   19.304    0.806    0.889       16        0 
      239   1366.993    528.549 298.3811956  18.8466919   20.044   19.591   19.874   19.407    0.747    0.867       16        0 
      241    984.094    535.469 298.3924343  18.8468843   23.761   22.314   23.591   22.130    0.961    1.076        8        0 
      242   1294.850    535.788 298.3833131  18.8468931   23.085   21.821   22.915   21.637    0.811    0.866       16        0 
      245   1792.343    538.255 298.3687110  18.8469606   21.555   20.554   21.385   20.370    0.806    0.870       16        0 
      246   1589.140    538.925 298.3746753  18.8469797   16.279   15.610   16.109   15.426    1.094    1.030        0        0 
      247   1157.676    540.076 298.3873394  18.8470123   23.604   22.543   23.434   22.359    0.747    1.168       24        0 
      249   1510.198    542.926 298.3769923  18.8470911   17.811   17.366   17.641   17.182    0.845    0.950       16        0 
